day,hour,trips,service
0.0,0,9475,bay
0.0,1,6448,bay
0.0,2,4398,bay
0.0,3,2214,bay
0.0,4,1582,bay
0.0,5,2059,bay
0.0,6,3801,bay
0.0,7,7956,bay
0.0,8,16243,bay
0.0,9,29699,bay
0.0,10,42843,bay
0.0,11,53335,bay
0.0,12,60551,bay
0.0,13,65228,bay
0.0,14,66138,bay
0.0,15,64942,bay
0.0,16,62233,bay
0.0,17,55386,bay
0.0,18,46185,bay
0.0,19,35046,bay
0.0,20,24732,bay
0.0,21,18041,bay
0.0,22,12186,bay
0.0,23,7856,bay
1.0,0,4242,bay
1.0,1,2491,bay
1.0,2,1815,bay
1.0,3,1242,bay
1.0,4,1929,bay
1.0,5,6292,bay
1.0,6,23813,bay
1.0,7,62900,bay
1.0,8,122274,bay
1.0,9,90625,bay
1.0,10,42929,bay
1.0,11,39676,bay
1.0,12,45364,bay
1.0,13,44197,bay
1.0,14,42792,bay
1.0,15,50829,bay
1.0,16,82054,bay
1.0,17,134230,bay
1.0,18,104988,bay
1.0,19,64133,bay
1.0,20,39122,bay
1.0,21,25135,bay
1.0,22,15325,bay
1.0,23,8042,bay
2.0,0,4199,bay
2.0,1,2516,bay
2.0,2,1764,bay
2.0,3,1258,bay
2.0,4,1981,bay
2.0,5,7327,bay
2.0,6,27771,bay
2.0,7,73142,bay
2.0,8,136237,bay
2.0,9,98532,bay
2.0,10,45288,bay
2.0,11,40248,bay
2.0,12,46565,bay
2.0,13,44087,bay
2.0,14,42523,bay
2.0,15,51748,bay
2.0,16,85862,bay
2.0,17,141703,bay
2.0,18,112505,bay
2.0,19,68394,bay
2.0,20,42856,bay
2.0,21,28753,bay
2.0,22,18400,bay
2.0,23,9591,bay
3.0,0,4793,bay
3.0,1,2874,bay
3.0,2,1955,bay
3.0,3,1211,bay
3.0,4,1880,bay
3.0,5,7037,bay
3.0,6,26293,bay
3.0,7,69283,bay
3.0,8,132206,bay
3.0,9,96998,bay
3.0,10,46498,bay
3.0,11,42020,bay
3.0,12,47642,bay
3.0,13,46013,bay
3.0,14,44022,bay
3.0,15,54683,bay
3.0,16,86974,bay
3.0,17,140399,bay
3.0,18,112219,bay
3.0,19,69053,bay
3.0,20,43135,bay
3.0,21,29703,bay
3.0,22,19039,bay
3.0,23,10116,bay
4.0,0,4979,bay
4.0,1,2728,bay
4.0,2,2006,bay
4.0,3,1353,bay
4.0,4,1941,bay
4.0,5,6610,bay
4.0,6,25676,bay
4.0,7,68146,bay
4.0,8,129367,bay
4.0,9,97489,bay
4.0,10,46823,bay
4.0,11,42505,bay
4.0,12,48534,bay
4.0,13,45796,bay
4.0,14,44921,bay
4.0,15,54238,bay
4.0,16,86672,bay
4.0,17,138382,bay
4.0,18,109911,bay
4.0,19,68054,bay
4.0,20,43979,bay
4.0,21,31101,bay
4.0,22,20572,bay
4.0,23,11738,bay
5.0,0,6211,bay
5.0,1,3475,bay
5.0,2,2115,bay
5.0,3,1474,bay
5.0,4,1932,bay
5.0,5,6061,bay
5.0,6,21671,bay
5.0,7,58415,bay
5.0,8,116498,bay
5.0,9,92104,bay
5.0,10,47741,bay
5.0,11,45756,bay
5.0,12,51923,bay
5.0,13,51794,bay
5.0,14,51748,bay
5.0,15,63312,bay
5.0,16,93851,bay
5.0,17,126187,bay
5.0,18,94560,bay
5.0,19,58166,bay
5.0,20,36249,bay
5.0,21,26321,bay
5.0,22,20923,bay
5.0,23,15169,bay
6.0,0,10134,bay
6.0,1,6830,bay
6.0,2,4283,bay
6.0,3,2101,bay
6.0,4,1569,bay
6.0,5,2124,bay
6.0,6,4725,bay
6.0,7,10072,bay
6.0,8,21529,bay
6.0,9,35123,bay
6.0,10,47796,bay
6.0,11,59163,bay
6.0,12,66235,bay
6.0,13,71172,bay
6.0,14,71686,bay
6.0,15,69564,bay
6.0,16,65852,bay
6.0,17,59413,bay
6.0,18,51314,bay
6.0,19,39813,bay
6.0,20,28516,bay
6.0,21,22233,bay
6.0,22,17705,bay
6.0,23,13730,bay
0.0,0,20191,blue
0.0,1,16973,blue
0.0,2,10874,blue
0.0,3,3417,blue
0.0,4,1969,blue
0.0,5,3242,blue
0.0,6,6708,blue
0.0,7,12655,blue
0.0,8,26865,blue
0.0,9,45688,blue
0.0,10,66858,blue
0.0,11,82496,blue
0.0,12,96368,blue
0.0,13,102996,blue
0.0,14,104142,blue
0.0,15,103554,blue
0.0,16,101363,blue
0.0,17,93587,blue
0.0,18,83992,blue
0.0,19,64727,blue
0.0,20,46513,blue
0.0,21,32886,blue
0.0,22,24488,blue
0.0,23,15854,blue
1.0,0,8664,blue
1.0,1,4809,blue
1.0,2,2639,blue
1.0,3,1332,blue
1.0,4,2150,blue
1.0,5,9637,blue
1.0,6,33233,blue
1.0,7,87337,blue
1.0,8,144724,blue
1.0,9,81051,blue
1.0,10,53591,blue
1.0,11,57093,blue
1.0,12,67712,blue
1.0,13,66426,blue
1.0,14,65964,blue
1.0,15,78225,blue
1.0,16,123251,blue
1.0,17,180630,blue
1.0,18,132487,blue
1.0,19,90016,blue
1.0,20,58862,blue
1.0,21,38835,blue
1.0,22,25307,blue
1.0,23,14345,blue
2.0,0,7027,blue
2.0,1,3658,blue
2.0,2,2041,blue
2.0,3,1218,blue
2.0,4,2005,blue
2.0,5,11049,blue
2.0,6,37882,blue
2.0,7,99346,blue
2.0,8,162317,blue
2.0,9,88687,blue
2.0,10,53196,blue
2.0,11,55743,blue
2.0,12,65596,blue
2.0,13,63414,blue
2.0,14,62265,blue
2.0,15,75849,blue
2.0,16,127051,blue
2.0,17,191441,blue
2.0,18,142527,blue
2.0,19,94187,blue
2.0,20,62954,blue
2.0,21,43963,blue
2.0,22,29695,blue
2.0,23,16783,blue
3.0,0,8223,blue
3.0,1,4153,blue
3.0,2,2308,blue
3.0,3,1299,blue
3.0,4,2121,blue
3.0,5,11224,blue
3.0,6,39582,blue
3.0,7,102262,blue
3.0,8,168027,blue
3.0,9,92620,blue
3.0,10,56594,blue
3.0,11,59306,blue
3.0,12,70332,blue
3.0,13,67792,blue
3.0,14,66565,blue
3.0,15,79848,blue
3.0,16,129602,blue
3.0,17,194244,blue
3.0,18,143598,blue
3.0,19,98382,blue
3.0,20,65576,blue
3.0,21,45835,blue
3.0,22,31411,blue
3.0,23,18368,blue
4.0,0,8975,blue
4.0,1,4517,blue
4.0,2,2472,blue
4.0,3,1303,blue
4.0,4,1973,blue
4.0,5,10311,blue
4.0,6,37790,blue
4.0,7,98982,blue
4.0,8,163141,blue
4.0,9,91337,blue
4.0,10,56241,blue
4.0,11,60012,blue
4.0,12,71125,blue
4.0,13,68134,blue
4.0,14,67394,blue
4.0,15,81323,blue
4.0,16,130035,blue
4.0,17,187248,blue
4.0,18,139834,blue
4.0,19,95712,blue
4.0,20,66387,blue
4.0,21,47326,blue
4.0,22,34442,blue
4.0,23,21725,blue
5.0,0,11773,blue
5.0,1,6336,blue
5.0,2,3735,blue
5.0,3,1760,blue
5.0,4,2049,blue
5.0,5,9142,blue
5.0,6,32712,blue
5.0,7,85190,blue
5.0,8,148490,blue
5.0,9,88084,blue
5.0,10,59801,blue
5.0,11,65382,blue
5.0,12,79266,blue
5.0,13,80648,blue
5.0,14,81283,blue
5.0,15,96975,blue
5.0,16,138793,blue
5.0,17,166786,blue
5.0,18,122480,blue
5.0,19,86534,blue
5.0,20,58788,blue
5.0,21,43459,blue
5.0,22,36415,blue
5.0,23,27113,blue
6.0,0,19530,blue
6.0,1,14614,blue
6.0,2,9243,blue
6.0,3,3444,blue
6.0,4,2164,blue
6.0,5,3220,blue
6.0,6,7298,blue
6.0,7,16469,blue
6.0,8,32334,blue
6.0,9,51482,blue
6.0,10,71271,blue
6.0,11,89270,blue
6.0,12,102869,blue
6.0,13,109112,blue
6.0,14,112279,blue
6.0,15,113434,blue
6.0,16,110106,blue
6.0,17,103480,blue
6.0,18,92616,blue
6.0,19,75820,blue
6.0,20,54439,blue
6.0,21,42265,blue
6.0,22,35336,blue
6.0,23,27281,blue
0.0,0,66640,capital
0.0,1,48189,capital
0.0,2,33724,capital
0.0,3,17416,capital
0.0,4,6362,capital
0.0,5,7195,capital
0.0,6,17313,capital
0.0,7,38747,capital
0.0,8,86038,capital
0.0,9,156034,capital
0.0,10,238503,capital
0.0,11,289398,capital
0.0,12,332074,capital
0.0,13,336536,capital
0.0,14,335102,capital
0.0,15,332300,capital
0.0,16,323131,capital
0.0,17,289129,capital
0.0,18,243607,capital
0.0,19,190990,capital
0.0,20,140459,capital
0.0,21,101464,capital
0.0,22,74835,capital
0.0,23,44308,capital
1.0,0,21913,capital
1.0,1,10287,capital
1.0,2,5796,capital
1.0,3,3094,capital
1.0,4,5014,capital
1.0,5,27148,capital
1.0,6,92763,capital
1.0,7,240186,capital
1.0,8,369957,capital
1.0,9,195029,capital
1.0,10,129879,capital
1.0,11,151930,capital
1.0,12,184910,capital
1.0,13,185387,capital
1.0,14,178154,capital
1.0,15,203530,capital
1.0,16,286468,capital
1.0,17,475606,capital
1.0,18,410001,capital
1.0,19,274446,capital
1.0,20,182217,capital
1.0,21,126347,capital
1.0,22,80546,capital
1.0,23,43890,capital
2.0,0,18668,capital
2.0,1,8011,capital
2.0,2,4366,capital
2.0,3,2401,capital
2.0,4,5241,capital
2.0,5,32322,capital
2.0,6,114405,capital
2.0,7,292576,capital
2.0,8,434112,capital
2.0,9,207691,capital
2.0,10,121537,capital
2.0,11,138407,capital
2.0,12,171060,capital
2.0,13,168457,capital
2.0,14,158743,capital
2.0,15,190180,capital
2.0,16,285220,capital
2.0,17,503734,capital
2.0,18,438140,capital
2.0,19,285329,capital
2.0,20,194593,capital
2.0,21,139957,capital
2.0,22,94946,capital
2.0,23,50699,capital
3.0,0,22360,capital
3.0,1,9557,capital
3.0,2,4844,capital
3.0,3,2727,capital
3.0,4,5255,capital
3.0,5,34808,capital
3.0,6,117492,capital
3.0,7,298432,capital
3.0,8,446911,capital
3.0,9,217994,capital
3.0,10,125899,capital
3.0,11,144875,capital
3.0,12,178466,capital
3.0,13,174146,capital
3.0,14,165432,capital
3.0,15,194419,capital
3.0,16,286906,capital
3.0,17,499774,capital
3.0,18,435827,capital
3.0,19,293543,capital
3.0,20,201227,capital
3.0,21,144277,capital
3.0,22,100607,capital
3.0,23,54322,capital
4.0,0,24105,capital
4.0,1,10684,capital
4.0,2,5568,capital
4.0,3,2851,capital
4.0,4,5007,capital
4.0,5,29884,capital
4.0,6,107038,capital
4.0,7,278793,capital
4.0,8,433255,capital
4.0,9,214941,capital
4.0,10,126149,capital
4.0,11,144954,capital
4.0,12,180273,capital
4.0,13,178115,capital
4.0,14,167538,capital
4.0,15,200049,capital
4.0,16,284041,capital
4.0,17,486428,capital
4.0,18,429275,capital
4.0,19,283897,capital
4.0,20,199931,capital
4.0,21,145510,capital
4.0,22,104479,capital
4.0,23,64428,capital
5.0,0,33309,capital
5.0,1,16258,capital
5.0,2,8600,capital
5.0,3,3717,capital
5.0,4,5245,capital
5.0,5,27829,capital
5.0,6,90900,capital
5.0,7,236655,capital
5.0,8,403713,capital
5.0,9,225151,capital
5.0,10,146901,capital
5.0,11,175378,capital
5.0,12,215097,capital
5.0,13,220068,capital
5.0,14,216511,capital
5.0,15,250903,capital
5.0,16,329299,capital
5.0,17,458469,capital
5.0,18,361721,capital
5.0,19,251047,capital
5.0,20,173190,capital
5.0,21,131779,capital
5.0,22,109234,capital
5.0,23,83529,capital
6.0,0,61914,capital
6.0,1,41374,capital
6.0,2,28381,capital
6.0,3,13425,capital
6.0,4,5682,capital
6.0,5,7886,capital
6.0,6,21258,capital
6.0,7,51848,capital
6.0,8,111417,capital
6.0,9,185984,capital
6.0,10,253376,capital
6.0,11,309006,capital
6.0,12,345912,capital
6.0,13,356418,capital
6.0,14,359677,capital
6.0,15,359705,capital
6.0,16,338545,capital
6.0,17,311959,capital
6.0,18,265934,capital
6.0,19,216478,capital
6.0,20,161212,capital
6.0,21,128790,capital
6.0,22,107576,capital
6.0,23,87356,capital
0.0,0,219488,citi
0.0,1,149391,citi
0.0,2,93838,citi
0.0,3,59921,citi
0.0,4,37873,citi
0.0,5,30590,citi
0.0,6,68955,citi
0.0,7,151078,citi
0.0,8,300578,citi
0.0,9,519205,citi
0.0,10,762043,citi
0.0,11,956700,citi
0.0,12,1106104,citi
0.0,13,1179602,citi
0.0,14,1207299,citi
0.0,15,1219258,citi
0.0,16,1211931,citi
0.0,17,1120172,citi
0.0,18,992320,citi
0.0,19,785427,citi
0.0,20,569224,citi
0.0,21,403292,citi
0.0,22,301508,citi
0.0,23,193845,citi
1.0,0,103403,citi
1.0,1,52393,citi
1.0,2,29558,citi
1.0,3,18531,citi
1.0,4,25937,citi
1.0,5,109001,citi
1.0,6,392393,citi
1.0,7,811270,citi
1.0,8,1361548,citi
1.0,9,994227,citi
1.0,10,608144,citi
1.0,11,607799,citi
1.0,12,727427,citi
1.0,13,774058,citi
1.0,14,812484,citi
1.0,15,880802,citi
1.0,16,1088018,citi
1.0,17,1702697,citi
1.0,18,1692548,citi
1.0,19,1162621,citi
1.0,20,765296,citi
1.0,21,500957,citi
1.0,22,343800,citi
1.0,23,200347,citi
2.0,0,103318,citi
2.0,1,50004,citi
2.0,2,27411,citi
2.0,3,16956,citi
2.0,4,27584,citi
2.0,5,128941,citi
2.0,6,468049,citi
2.0,7,949978,citi
2.0,8,1600937,citi
2.0,9,1139971,citi
2.0,10,664018,citi
2.0,11,639385,citi
2.0,12,739451,citi
2.0,13,777081,citi
2.0,14,805440,citi
2.0,15,873148,citi
2.0,16,1101525,citi
2.0,17,1769764,citi
2.0,18,1775362,citi
2.0,19,1205001,citi
2.0,20,797802,citi
2.0,21,546561,citi
2.0,22,387671,citi
2.0,23,230011,citi
3.0,0,117577,citi
3.0,1,57265,citi
3.0,2,30882,citi
3.0,3,19441,citi
3.0,4,28448,citi
3.0,5,130191,citi
3.0,6,471740,citi
3.0,7,972687,citi
3.0,8,1658794,citi
3.0,9,1194507,citi
3.0,10,697573,citi
3.0,11,674931,citi
3.0,12,786388,citi
3.0,13,816814,citi
3.0,14,849248,citi
3.0,15,916463,citi
3.0,16,1130475,citi
3.0,17,1772069,citi
3.0,18,1759612,citi
3.0,19,1207977,citi
3.0,20,800657,citi
3.0,21,554336,citi
3.0,22,406431,citi
3.0,23,254142,citi
4.0,0,129486,citi
4.0,1,61802,citi
4.0,2,33160,citi
4.0,3,20131,citi
4.0,4,27393,citi
4.0,5,117574,citi
4.0,6,431910,citi
4.0,7,903510,citi
4.0,8,1548820,citi
4.0,9,1136787,citi
4.0,10,676355,citi
4.0,11,657047,citi
4.0,12,780425,citi
4.0,13,811152,citi
4.0,14,844178,citi
4.0,15,911823,citi
4.0,16,1117413,citi
4.0,17,1714484,citi
4.0,18,1695460,citi
4.0,19,1164286,citi
4.0,20,768291,citi
4.0,21,535243,citi
4.0,22,410233,citi
4.0,23,275503,citi
5.0,0,152433,citi
5.0,1,78043,citi
5.0,2,43201,citi
5.0,3,25649,citi
5.0,4,29140,citi
5.0,5,107248,citi
5.0,6,383584,citi
5.0,7,797704,citi
5.0,8,1397716,citi
5.0,9,1087053,citi
5.0,10,688535,citi
5.0,11,701588,citi
5.0,12,834673,citi
5.0,13,902290,citi
5.0,14,971515,citi
5.0,15,1058844,citi
5.0,16,1289709,citi
5.0,17,1649640,citi
5.0,18,1430574,citi
5.0,19,992813,citi
5.0,20,649237,citi
5.0,21,452867,citi
5.0,22,368346,citi
5.0,23,296692,citi
6.0,0,210209,citi
6.0,1,134611,citi
6.0,2,86091,citi
6.0,3,53594,citi
6.0,4,35777,citi
6.0,5,35636,citi
6.0,6,92517,citi
6.0,7,208603,citi
6.0,8,398174,citi
6.0,9,643373,citi
6.0,10,866754,citi
6.0,11,1065590,citi
6.0,12,1199850,citi
6.0,13,1260853,citi
6.0,14,1276449,citi
6.0,15,1289180,citi
6.0,16,1247516,citi
6.0,17,1151106,citi
6.0,18,1007112,citi
6.0,19,812592,citi
6.0,20,581656,citi
6.0,21,430535,citi
6.0,22,362928,citi
6.0,23,299892,citi
0.0,0,48357,divvy
0.0,1,31671,divvy
0.0,2,20813,divvy
0.0,3,11978,divvy
0.0,4,7529,divvy
0.0,5,9283,divvy
0.0,6,19279,divvy
0.0,7,39306,divvy
0.0,8,74829,divvy
0.0,9,131171,divvy
0.0,10,194923,divvy
0.0,11,251688,divvy
0.0,12,285311,divvy
0.0,13,296874,divvy
0.0,14,299818,divvy
0.0,15,304542,divvy
0.0,16,287711,divvy
0.0,17,255507,divvy
0.0,18,212563,divvy
0.0,19,161658,divvy
0.0,20,110771,divvy
0.0,21,78859,divvy
0.0,22,57352,divvy
0.0,23,34628,divvy
1.0,0,19101,divvy
1.0,1,10437,divvy
1.0,2,5910,divvy
1.0,3,3886,divvy
1.0,4,6381,divvy
1.0,5,31769,divvy
1.0,6,109776,divvy
1.0,7,241339,divvy
1.0,8,302945,divvy
1.0,9,147402,divvy
1.0,10,118643,divvy
1.0,11,152536,divvy
1.0,12,177499,divvy
1.0,13,175555,divvy
1.0,14,171582,divvy
1.0,15,209045,divvy
1.0,16,339792,divvy
1.0,17,485936,divvy
1.0,18,321815,divvy
1.0,19,207579,divvy
1.0,20,131699,divvy
1.0,21,90090,divvy
1.0,22,56315,divvy
1.0,23,30066,divvy
2.0,0,15324,divvy
2.0,1,7759,divvy
2.0,2,4198,divvy
2.0,3,2779,divvy
2.0,4,6824,divvy
2.0,5,37013,divvy
2.0,6,128614,divvy
2.0,7,275456,divvy
2.0,8,336468,divvy
2.0,9,151907,divvy
2.0,10,109004,divvy
2.0,11,137888,divvy
2.0,12,160269,divvy
2.0,13,156453,divvy
2.0,14,151730,divvy
2.0,15,192110,divvy
2.0,16,342222,divvy
2.0,17,502044,divvy
2.0,18,338290,divvy
2.0,19,219086,divvy
2.0,20,141918,divvy
2.0,21,99134,divvy
2.0,22,64912,divvy
2.0,23,34425,divvy
3.0,0,16869,divvy
3.0,1,8309,divvy
3.0,2,4464,divvy
3.0,3,3173,divvy
3.0,4,6198,divvy
3.0,5,35773,divvy
3.0,6,126409,divvy
3.0,7,270665,divvy
3.0,8,332112,divvy
3.0,9,152022,divvy
3.0,10,107567,divvy
3.0,11,136062,divvy
3.0,12,159912,divvy
3.0,13,155884,divvy
3.0,14,152528,divvy
3.0,15,192916,divvy
3.0,16,339286,divvy
3.0,17,488393,divvy
3.0,18,325047,divvy
3.0,19,211734,divvy
3.0,20,138226,divvy
3.0,21,99068,divvy
3.0,22,69066,divvy
3.0,23,36532,divvy
4.0,0,18224,divvy
4.0,1,9620,divvy
4.0,2,5112,divvy
4.0,3,3370,divvy
4.0,4,6130,divvy
4.0,5,33767,divvy
4.0,6,117336,divvy
4.0,7,255177,divvy
4.0,8,319405,divvy
4.0,9,150801,divvy
4.0,10,110223,divvy
4.0,11,138878,divvy
4.0,12,163821,divvy
4.0,13,160699,divvy
4.0,14,157484,divvy
4.0,15,200532,divvy
4.0,16,339804,divvy
4.0,17,483115,divvy
4.0,18,332017,divvy
4.0,19,218087,divvy
4.0,20,143741,divvy
4.0,21,103536,divvy
4.0,22,75406,divvy
4.0,23,44256,divvy
5.0,0,22691,divvy
5.0,1,12456,divvy
5.0,2,7083,divvy
5.0,3,4408,divvy
5.0,4,6554,divvy
5.0,5,31824,divvy
5.0,6,107920,divvy
5.0,7,239469,divvy
5.0,8,305431,divvy
5.0,9,156171,divvy
5.0,10,126698,divvy
5.0,11,165630,divvy
5.0,12,200867,divvy
5.0,13,206280,divvy
5.0,14,209724,divvy
5.0,15,257629,divvy
5.0,16,368563,divvy
5.0,17,411580,divvy
5.0,18,277023,divvy
5.0,19,185304,divvy
5.0,20,122952,divvy
5.0,21,89177,divvy
5.0,22,76310,divvy
5.0,23,60732,divvy
6.0,0,41981,divvy
6.0,1,29797,divvy
6.0,2,17844,divvy
6.0,3,9440,divvy
6.0,4,5938,divvy
6.0,5,10360,divvy
6.0,6,23787,divvy
6.0,7,52551,divvy
6.0,8,99534,divvy
6.0,9,157439,divvy
6.0,10,220081,divvy
6.0,11,274445,divvy
6.0,12,310904,divvy
6.0,13,326673,divvy
6.0,14,327834,divvy
6.0,15,320180,divvy
6.0,16,301514,divvy
6.0,17,269565,divvy
6.0,18,228183,divvy
6.0,19,174525,divvy
6.0,20,122890,divvy
6.0,21,94230,divvy
6.0,22,85114,divvy
6.0,23,68483,divvy
